hcp_id,territory_id,call_id,call_datetime_local,call_duration_minutes,transcript_text,structured_call_summary,key_topics_tags,objection_categories,compliance_redaction_flag
HCP0057,US-FL-S,CALL-2025-0001,2026-01-14 23:37:53,41,Met with Dr. Walker to discuss cost-effectiveness. Addressed pediatric use with comparative data. HCP requested additional information on patient outcomes.,Focused on cost-effectiveness. Addressed pediatric use with supporting evidence. Follow-up planned.,"Cost-Effectiveness,Contraindications",Pediatric Use,True
HCP0038,US-CA-S,CALL-2025-0002,2025-11-14 21:45:53,16,Call with Dr. Rivera focused on geriatric considerations and long-term safety. Discussed waiting for more data and provided supporting materials. Follow-up scheduled to review additional data.,Discussed geriatric considerations with positive engagement. HCP expressed interest in long-term safety.,"Geriatric Considerations,Long-term Safety,Step Therapy Requirements",Waiting for more data,True
HCP0068,US-CA-N,CALL-2025-0003,2025-12-02 02:15:53,27,Virtual meeting with Dr. Wood covering pharmacokinetics and quality of life data. Discussed patient compliance concerns and formulary considerations. Positive engagement overall.,Focused on pharmacokinetics. Addressed patient compliance concerns with supporting evidence. Follow-up planned.,"Pharmacokinetics,Quality of Life Data",Patient compliance concerns,True
HCP0080,US-CA-N,CALL-2025-0004,2025-12-02 03:18:53,47,Virtual meeting with Dr. Moore covering efficacy data and payer coverage. Discussed administration challenges and formulary considerations. Positive engagement overall.,Discussed efficacy data with positive engagement. HCP expressed interest in payer coverage.,"Efficacy Data,Payer Coverage,Comparative Effectiveness,Clinical Trial Results",Administration challenges,True
HCP0081,US-CA-N,CALL-2025-0005,2026-01-06 18:52:53,59,Call with Dr. Wilson focused on formulary status and drug interactions. Discussed lack of evidence and provided supporting materials. Follow-up scheduled to review additional data.,Discussed formulary status with positive engagement. HCP expressed interest in drug interactions.,"Formulary Status,Drug Interactions,Pharmacokinetics,Hepatic Dosing",Lack of evidence,False
HCP0189,US-CA-S,CALL-2025-0006,2026-01-12 19:04:53,59,Productive conversation with Dr. Adams about formulary status. HCP raised questions about side-effect risk. Shared relevant clinical studies and real-world evidence.,Covered formulary status and payer coverage. HCP engaged and asked thoughtful questions.,"Formulary Status,Payer Coverage,Hepatic Dosing",Side-effect risk,False
HCP0184,US-PA-W,CALL-2025-0007,2025-11-25 03:51:53,29,Call with Dr. Harris focused on geriatric considerations and step therapy requirements. Discussed side-effect risk and provided supporting materials. Follow-up scheduled to review additional data.,Focused on geriatric considerations. Addressed side-effect risk with supporting evidence. Follow-up planned.,"Geriatric Considerations,Step Therapy Requirements,Safety Profile",Side-effect risk,True
HCP0011,US-TX-W,CALL-2025-0008,2025-10-22 19:54:53,59,Call with Dr. Cruz focused on pediatric use and efficacy data. Discussed cost concerns and provided supporting materials. Follow-up scheduled to review additional data.,Discussed pediatric use with positive engagement. HCP expressed interest in efficacy data.,"Pediatric Use,Efficacy Data,Patient Selection",Cost concerns,False
HCP0129,US-CA-S,CALL-2025-0009,2026-01-03 19:50:53,15,Discussion with Dr. Murphy regarding step therapy requirements. Reviewed clinical data and addressed concerns about waiting for more data. HCP showed interest in learning more about patient selection criteria.,Discussed step therapy requirements with positive engagement. HCP expressed interest in pregnancy safety.,"Step Therapy Requirements,Pregnancy Safety,Cost-Effectiveness",Waiting for more data,True
HCP0063,US-NY-E,CALL-2025-0010,2025-10-24 22:09:53,13,Met with Dr. Howard to discuss pediatric use. Addressed dosing complexity with comparative data. HCP requested additional information on patient outcomes.,Productive discussion on pediatric use. HCP showed interest but raised questions about dosing complexity.,"Pediatric Use,Adverse Events,Clinical Trial Results,Geriatric Considerations",Dosing complexity,True
HCP0066,US-TX-E,CALL-2025-0011,2025-11-12 01:31:53,32,Productive conversation with Dr. Anderson about pregnancy safety. HCP raised questions about formulary restrictions. Shared relevant clinical studies and real-world evidence.,Reviewed pregnancy safety and addressed concerns about formulary restrictions. HCP requested additional clinical data.,"Pregnancy Safety,Formulary Status",Formulary restrictions,True
HCP0018,US-PA-W,CALL-2025-0012,2025-12-22 21:29:53,44,Discussion with Dr. Turner regarding side effects. Reviewed clinical data and addressed concerns about side-effect risk. HCP showed interest in learning more about patient selection criteria.,Discussed side effects with positive engagement. HCP expressed interest in efficacy data.,"Side Effects,Efficacy Data,Cost-Effectiveness",Side-effect risk,True
HCP0134,US-CA-S,CALL-2025-0013,2025-11-05 23:05:53,16,Call with Dr. Alvarez focused on patient selection and cost-effectiveness. Discussed none and provided supporting materials. Follow-up scheduled to review additional data.,Discussed patient selection with positive engagement. HCP expressed interest in cost-effectiveness.,"Patient Selection,Cost-Effectiveness",None,True
HCP0196,US-NY-W,CALL-2025-0014,2026-01-03 18:42:53,31,Met with Dr. Mendoza to discuss real-world evidence. Addressed patient compliance concerns with comparative data. HCP requested additional information on patient outcomes.,Discussed real-world evidence with positive engagement. HCP expressed interest in adverse events.,"Real-world Evidence,Adverse Events,Treatment Guidelines",Patient compliance concerns,False
HCP0147,US-NY-W,CALL-2025-0015,2025-12-16 20:13:53,40,Discussion with Dr. Rogers regarding pediatric use. Reviewed clinical data and addressed concerns about side-effect risk. HCP showed interest in learning more about patient selection criteria.,Productive discussion on pediatric use. HCP showed interest but raised questions about side-effect risk.,"Pediatric Use,Patient Selection,Pregnancy Safety,Side Effects",Side-effect risk,False
HCP0039,US-NY-W,CALL-2025-0016,2025-10-29 02:51:53,46,Call with Dr. Thompson focused on drug interactions and patient selection. Discussed dosing complexity and provided supporting materials. Follow-up scheduled to review additional data.,Productive discussion on drug interactions. HCP showed interest but raised questions about dosing complexity.,"Drug Interactions,Patient Selection,Side Effects,MOA Review",Dosing complexity,False
HCP0174,US-FL-N,CALL-2025-0017,2025-12-11 20:53:53,46,Met with Dr. Ross to discuss step therapy requirements. Addressed side-effect risk with comparative data. HCP requested additional information on patient outcomes.,Focused on step therapy requirements. Addressed side-effect risk with supporting evidence. Follow-up planned.,"Step Therapy Requirements,Formulary Status,Long-term Safety",Side-effect risk,True
HCP0150,US-PA-W,CALL-2025-0018,2025-12-22 18:22:53,22,Discussion with Dr. Brooks regarding renal dosing. Reviewed clinical data and addressed concerns about prior authorization burden. HCP showed interest in learning more about patient selection criteria.,Reviewed renal dosing and addressed concerns about prior authorization burden. HCP requested additional clinical data.,"Renal Dosing,Formulary Status,Patient Selection,Geriatric Considerations",Prior authorization burden,True
