user_id,hcp_id,territory_id
REP-120,HCP0001,US-TX-W
REP-114,HCP0002,US-PA-E
REP-120,HCP0003,US-CA-N
REP-106,HCP0004,US-TX-E
REP-115,HCP0005,US-PA-E
REP-117,HCP0006,US-NY-W
REP-114,HCP0007,US-CA-S
REP-118,HCP0008,US-TX-E
REP-115,HCP0009,US-PA-E
REP-113,HCP0010,US-CA-S
REP-112,HCP0011,US-TX-W
REP-108,HCP0012,US-FL-S
REP-106,HCP0013,US-TX-W
REP-114,HCP0014,US-PA-E
REP-120,HCP0015,US-NY-E
REP-101,HCP0016,US-NY-W
REP-119,HCP0017,US-TX-W
REP-116,HCP0018,US-PA-W
REP-108,HCP0019,US-TX-E
REP-117,HCP0020,US-NY-W
REP-109,HCP0021,US-CA-N
REP-114,HCP0022,US-NY-W
REP-118,HCP0023,US-FL-N
REP-119,HCP0024,US-TX-W
REP-112,HCP0025,US-PA-W
REP-102,HCP0026,US-CA-N
REP-102,HCP0027,US-NY-E
REP-119,HCP0028,US-PA-E
REP-116,HCP0029,US-PA-E
REP-112,HCP0030,US-CA-N
REP-104,HCP0031,US-TX-E
REP-119,HCP0032,US-TX-W
REP-116,HCP0033,US-NY-W
REP-103,HCP0034,US-FL-N
REP-105,HCP0035,US-NY-E
REP-117,HCP0036,US-FL-S
REP-109,HCP0037,US-NY-W
REP-115,HCP0038,US-CA-S
REP-117,HCP0039,US-NY-W
REP-103,HCP0040,US-NY-E
REP-117,HCP0041,US-FL-S
REP-120,HCP0042,US-PA-W
REP-103,HCP0043,US-CA-N
REP-108,HCP0044,US-FL-S
REP-116,HCP0045,US-CA-S
REP-103,HCP0046,US-NY-W
REP-118,HCP0047,US-NY-W
REP-119,HCP0048,US-CA-S
REP-110,HCP0049,US-NY-W
REP-120,HCP0050,US-NY-W
REP-102,HCP0051,US-TX-E
REP-111,HCP0052,US-NY-W
REP-118,HCP0053,US-TX-W
REP-101,HCP0054,US-NY-W
REP-116,HCP0055,US-NY-E
REP-115,HCP0056,US-FL-S
REP-117,HCP0057,US-FL-S
REP-116,HCP0058,US-FL-S
REP-119,HCP0059,US-FL-S
REP-111,HCP0060,US-PA-W
REP-114,HCP0061,US-NY-W
REP-112,HCP0062,US-TX-W
REP-110,HCP0063,US-NY-E
REP-110,HCP0064,US-TX-E
REP-106,HCP0065,US-FL-N
REP-102,HCP0066,US-TX-E
REP-120,HCP0067,US-FL-S
REP-110,HCP0068,US-CA-N
REP-119,HCP0069,US-FL-N
REP-109,HCP0070,US-NY-E
REP-102,HCP0071,US-FL-S
REP-116,HCP0072,US-PA-E
REP-119,HCP0073,US-NY-W
REP-106,HCP0074,US-NY-W
REP-119,HCP0075,US-NY-E
REP-102,HCP0076,US-NY-E
REP-110,HCP0077,US-PA-W
REP-120,HCP0078,US-PA-E
REP-101,HCP0079,US-NY-W
REP-110,HCP0080,US-CA-N
REP-116,HCP0081,US-CA-N
REP-103,HCP0082,US-PA-W
REP-105,HCP0083,US-FL-N
REP-117,HCP0084,US-FL-S
REP-103,HCP0085,US-NY-W
REP-109,HCP0086,US-FL-N
REP-109,HCP0087,US-TX-W
REP-105,HCP0088,US-CA-S
REP-120,HCP0089,US-FL-N
REP-109,HCP0090,US-CA-S
REP-109,HCP0091,US-TX-E
REP-109,HCP0092,US-NY-W
REP-101,HCP0093,US-NY-W
REP-104,HCP0094,US-NY-E
REP-120,HCP0095,US-NY-E
REP-106,HCP0096,US-TX-E
REP-119,HCP0097,US-NY-W
