hcp_id,call_id,followup_template_id,followup_email_subject,followup_email_body,mi_request_flag,mi_response_template_id,compliance_approval_status,compliance_rule_ids,compliance_evidence,redaction_required,redaction_segments,automated_send_allowed,human_review_required,escalation_team,escalated_at,resolved_by,resolution_notes,provenance_key,created_by,followup_sent_datetime,send_status,sla_met_flag,region,scheduled_followup_call_date
HCP0145,CALL-2025-0106,TMPL-620,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-22,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",TRUE,TRUE,Compliance,,,,PROV-10159,REP-102,2026-01-25,Sent,TRUE,CA,2026-02-15
HCP0113,CALL-2025-0109,TMPL-401,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-259,Approved,RULE-17,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,,,,,PROV-78799,REP-104,2026-01-02,Sent,FALSE,TX,2026-02-21
HCP0179,CALL-2025-0142,TMPL-691,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-41,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,Medical Affairs,2026-01-20,,,PROV-38707,REP-105,2026-01-28,Sent,FALSE,CA,2026-02-07
HCP0074,CALL-2025-0056,TMPL-467,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-835,Approved,RULE-3,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Compliance,,,,PROV-10378,REP-102,2026-01-30,Pending,TRUE,NY,2026-01-30
HCP0012,CALL-2025-0095,TMPL-567,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,,Not Required,RULE-7,"Approved promotional content, no off-label discussion",TRUE,,TRUE,TRUE,,,,,PROV-64488,REP-103,2026-01-30,Pending,FALSE,FL,2026-02-02
HCP0133,CALL-2025-0030,TMPL-985,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Not Required,RULE-14,"Approved promotional content, no off-label discussion",TRUE,"Segment 2, Segment 5",TRUE,FALSE,Compliance,,,,PROV-46163,REP-103,2026-01-29,Scheduled,FALSE,PA,2026-02-06
HCP0033,CALL-2025-0102,TMPL-266,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Approved,RULE-8,"Approved promotional content, no off-label discussion",FALSE,,TRUE,FALSE,Medical Affairs,,,,PROV-64746,REP-113,2026-01-29,Pending,TRUE,NY,2026-02-18
HCP0174,CALL-2025-0052,TMPL-339,Sample Request Confirmation,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,MI-624,Pending,RULE-24,"Approved promotional content, no off-label discussion",FALSE,,FALSE,FALSE,Medical Affairs,,,,PROV-66555,REP-113,2026-01-29,Sent,FALSE,FL,2026-02-13
HCP0005,CALL-2025-0101,TMPL-888,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",TRUE,,Pending,RULE-1,"Approved promotional content, no off-label discussion",FALSE,,FALSE,TRUE,Medical Affairs,,,,PROV-60507,REP-105,2026-01-02,Pending,TRUE,PA,2026-01-27
HCP0186,CALL-2025-0143,TMPL-402,Additional Resources from Our Meeting,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-520,Not Required,RULE-9,"Approved promotional content, no off-label discussion",FALSE,"Segment 2, Segment 5",FALSE,FALSE,,,,,PROV-77271,REP-102,2026-01-24,Scheduled,FALSE,CA,2026-02-04
HCP0069,CALL-2025-0020,TMPL-803,Follow-up: Clinical Data Discussion,"Thank you for taking the time to discuss our product. As promised, I'm following up with additional information...",FALSE,MI-345,Not Required,RULE-20,"Approved promotional content, no off-label discussion",TRUE,,FALSE,FALSE,Compliance,,,,PROV-41381,REP-105,2026-01-02,Scheduled,FALSE,FL,2026-02-15
