hcp_id,trx_7d,trx_28d,trx_90d,nrx_7d,nrx_28d,nrx_90d,nbrx_28d,trx_28d_wow_pct,trx_90d_qoq_pct,nbrx_28d_rate,adoption_stage_ordinal,gap_to_goal_28d,potential_uplift_index,churn_risk_score,receptivity_score
HCP0001,8,33,228,10,34,52,2,-0.0279,0.2971,0.7694,5,113,1.8068,0.7699,32.34
HCP0002,8,19,91,6,17,22,10,-0.1451,0.1877,0.1779,0,-35,0.9834,0.9286,61.03
HCP0003,15,92,95,8,9,28,6,0.0684,-0.2363,0.4416,2,5,0.2066,0.0729,57.13
HCP0004,0,67,114,10,14,78,10,0.2597,0.0988,0.2664,5,-50,0.6597,0.3913,0.37
HCP0005,15,72,231,1,30,70,7,-0.0693,0.1136,0.7798,0,-50,1.1345,0.935,35.89
HCP0006,12,48,224,5,7,22,5,0.2047,0.1563,0.29,1,-30,0.3532,0.0393,38.42
HCP0007,12,48,98,5,25,28,15,0.2311,-0.0372,0.1895,0,-29,0.3862,0.7197,59.29
HCP0008,2,59,175,8,36,54,14,-0.2778,-0.2664,0.7878,0,-46,0.811,0.2117,65.38
HCP0009,17,68,183,9,28,34,7,-0.2779,-0.215,0.6538,3,-32,1.8144,0.6184,24.27
HCP0010,0,26,216,4,8,37,1,0.0667,0.2012,0.064,0,66,0.2284,0.595,61.56
HCP0011,6,61,66,10,26,42,12,-0.2275,0.1105,0.5459,2,33,1.6729,0.7931,76.42
HCP0012,10,32,201,4,8,23,2,-0.0509,0.1178,0.5534,3,143,0.4873,0.582,13.34
HCP0013,19,90,252,0,15,63,15,-0.2962,-0.1924,0.0891,5,-30,1.1875,0.2837,69.35
HCP0014,4,70,252,10,14,41,4,-0.0297,-0.1564,0.1745,5,83,0.0752,0.18,49.99
HCP0015,20,21,293,6,27,53,0,-0.1586,-0.2295,0.5302,0,92,1.2378,0.8627,98.68
HCP0016,14,38,179,0,22,41,6,0.178,0.1111,0.9686,3,-22,0.995,0.1598,92.27
HCP0017,11,51,63,6,11,33,4,0.0701,0.234,0.4531,0,35,1.4808,0.9249,17.59
HCP0018,7,13,251,1,12,80,3,-0.0331,0.0479,0.4191,5,134,1.3537,0.3257,77.9
HCP0019,3,39,133,3,31,45,12,-0.2559,0.0511,0.0543,3,6,0.2899,0.9279,45.5
HCP0020,4,57,149,10,17,73,11,-0.1787,-0.2237,0.6922,0,19,0.5612,0.1111,46.55
HCP0021,10,31,157,9,23,43,5,0.2717,0.2433,0.5781,4,113,1.71,0.0865,85.7
HCP0022,18,37,175,4,34,75,0,-0.0431,0.2236,0.2478,3,136,1.1589,0.8918,59.18
HCP0023,0,83,88,0,7,68,7,0.1612,-0.2798,0.5311,3,137,1.6194,0.6967,9.8
HCP0024,2,40,176,6,16,16,6,-0.085,-0.1566,0.999,0,-17,0.9596,0.3048,70.33
HCP0025,18,83,269,7,12,18,12,0.2245,-0.0568,0.7899,2,-15,1.2536,0.7039,0.14
HCP0026,12,19,210,0,38,57,9,0.1517,0.1188,0.6125,4,59,1.589,0.7877,8.1
HCP0027,1,52,275,0,28,80,3,-0.0806,0.0715,0.3656,1,48,1.2963,0.7049,56.08
HCP0028,4,36,248,8,20,57,3,-0.0129,0.2635,0.5801,5,116,0.4196,0.745,22.54
HCP0029,16,44,140,0,22,69,2,-0.0929,-0.0083,0.5267,0,45,0.9403,0.5319,82.54
HCP0030,14,47,280,3,9,62,7,-0.2519,0.2388,0.2884,0,-28,0.2187,0.2759,69.71
HCP0031,6,29,177,6,9,17,8,-0.0157,-0.0479,0.7377,0,-17,0.583,0.0629,87.18
HCP0032,20,76,109,9,31,57,10,0.0876,-0.1042,0.5934,5,117,1.0603,0.5485,45.8
HCP0033,9,26,195,3,21,36,15,0.2824,0.1618,0.0473,2,45,0.5688,0.9562,61.86
HCP0034,9,78,91,10,16,38,4,-0.1573,-0.2753,0.3166,1,-9,0.8818,0.3697,20.52
HCP0035,10,14,231,2,27,55,11,0.0239,-0.2024,0.3016,0,64,0.8091,0.4994,14.54
HCP0036,4,50,167,8,13,15,5,0.1233,-0.0157,0.2898,4,115,1.3338,0.7996,72.85
