hcp_id,territory_id,access_snapshot_datetime,recent_formulary_change_30d,current_coverage_tier_overall,prior_auth_requirement,step_therapy_requirement,copay_status_median_usd,patient_mix_top3_summary,access_alert_severity,prior_auth_required_flag,step_therapy_required_flag,patient_copay_median_90d,access_change_14d_flag,access_policy_change_7d_flag,payer_contract_change_30d_flag,formulary_tier_score,payer_top1_share_pct,payer_top3_share_pct,access_friction_index,physician_id,product_id,insurance_plan,is_covered,tier_status,prior_auth_required,step_therapy_required,copay_amount,last_updated
HCP0001,US-TX-W,2026-01-20 10:01:33,PA added,Tier 4,Required,Not Required,45.4,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,112.75,True,True,False,2,0.3076,0.6733,0.7483,HCP0001,PROD-005,Blue Cross,True,Specialty,True,True,19.78,2026-01-20
HCP0002,US-PA-E,2026-01-20 10:01:33,No change,Specialty,Not Required,Not Required,112.63,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,36.1,True,True,False,2,0.401,0.6386,0.5671,HCP0002,PROD-004,Aetna,True,Tier 1,True,True,46.31,2026-01-20
HCP0003,US-CA-N,2026-01-20 10:01:33,No change,Tier 4,Conditional,Required,131.57,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,22.0,True,False,True,3,0.2119,0.6822,0.4852,HCP0003,PROD-002,Blue Cross,True,Tier 3,True,True,23.56,2026-01-20
HCP0004,US-TX-E,2026-01-20 10:01:33,Tier updated,Tier 4,Conditional,Not Required,140.5,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,False,False,57.12,False,False,True,3,0.466,0.7325,0.0572,HCP0004,PROD-006,UnitedHealthcare,True,Tier 1,False,False,111.53,2026-01-20
HCP0005,US-PA-E,2026-01-20 10:01:33,PA added,Tier 1,Conditional,Required,131.66,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,73.27,False,False,True,1,0.5945,0.9351,0.8126,HCP0005,PROD-001,UnitedHealthcare,True,Tier 3,False,True,94.95,2026-01-20
HCP0006,US-NY-W,2026-01-20 10:01:33,No change,Specialty,Required,Not Required,69.91,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,51.14,True,True,True,2,0.3992,0.6305,0.8324,HCP0006,PROD-008,Aetna,False,Tier 1,False,True,44.07,2026-01-20
HCP0007,US-CA-S,2026-01-20 10:01:33,PA added,Tier 1,Required,Not Required,149.07,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,136.37,False,True,False,4,0.5806,0.8347,0.6655,HCP0007,PROD-008,Blue Cross,False,Tier 2,True,False,62.78,2026-01-20
HCP0008,US-TX-E,2026-01-20 10:01:33,No change,Specialty,Not Required,Required,41.3,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,25.59,False,True,True,3,0.251,0.7097,0.3802,HCP0008,PROD-001,UnitedHealthcare,True,Tier 2,False,False,54.75,2026-01-20
HCP0009,US-PA-E,2026-01-20 10:01:33,PA removed,Tier 2,Conditional,Required,24.92,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,False,30.26,False,True,False,4,0.259,0.6992,0.7471,HCP0009,PROD-001,Humana,False,Tier 3,True,False,149.56,2026-01-20
HCP0010,US-CA-S,2026-01-20 10:01:33,No change,Tier 2,Not Required,Not Required,108.58,"Commercial 45%, Medicare 35%, Medicaid 20%",Medium,True,False,31.38,True,True,True,2,0.5427,0.8546,0.2991,HCP0010,PROD-003,Blue Cross,False,Tier 3,False,False,148.64,2026-01-20
HCP0011,US-TX-W,2026-01-20 10:01:33,No change,Tier 4,Required,Not Required,49.53,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,False,True,28.33,True,False,False,2,0.4309,0.7547,0.4824,HCP0011,PROD-003,Aetna,True,Tier 2,True,False,111.63,2026-01-20
HCP0012,US-FL-S,2026-01-20 10:01:33,Tier updated,Tier 2,Not Required,Not Required,105.12,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,True,59.78,False,True,True,1,0.5921,0.8275,0.5934,HCP0012,PROD-003,Cigna,True,Tier 1,True,True,65.53,2026-01-20
HCP0013,US-TX-W,2026-01-20 10:01:33,PA removed,Specialty,Required,Not Required,118.62,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,131.09,False,False,False,3,0.2046,0.6408,0.1221,HCP0013,PROD-004,Blue Cross,False,Tier 3,True,True,63.75,2026-01-20
HCP0014,US-PA-E,2026-01-20 10:01:33,No change,Tier 3,Conditional,Required,23.92,"Commercial 45%, Medicare 35%, Medicaid 20%",Low,True,False,123.8,True,False,False,1,0.4076,0.8047,0.7137,HCP0014,PROD-002,Aetna,True,Tier 2,True,True,87.66,2026-01-20
HCP0015,US-NY-E,2026-01-20 10:01:33,PA removed,Tier 1,Required,Required,90.51,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,True,88.75,True,True,True,3,0.3454,0.7905,0.4231,HCP0015,PROD-001,Aetna,False,Tier 1,False,False,29.58,2026-01-20
HCP0016,US-NY-W,2026-01-20 10:01:33,No change,Tier 3,Conditional,Not Required,94.86,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,True,102.77,True,True,True,2,0.2567,0.8996,0.2152,HCP0016,PROD-003,Humana,True,Tier 3,False,True,112.07,2026-01-20
HCP0017,US-TX-W,2026-01-20 10:01:33,No change,Tier 1,Conditional,Not Required,46.49,"Commercial 45%, Medicare 35%, Medicaid 20%",High,True,False,73.85,False,False,True,2,0.2282,0.8564,0.9954,HCP0017,PROD-004,UnitedHealthcare,True,Specialty,True,False,148.94,2026-01-20
