hcp_id,territory_id,market_share_percent,competitor_market_share,comp_trx_share_28d,share_shift_percent,comp_share_28d_delta,comp_detail_60d_cnt,comp_sample_60d_cnt,comp_event_90d_cnt,drug_id,drug_name,brand_name,manufacturer,drug_category,therapy_area
HCP0001,US-TX-W,15.57,52.25,49.7,1.12,0.01,6,7,3,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0002,US-PA-E,11.49,36.56,36.61,0.21,0.02,6,18,1,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0003,US-CA-N,39.46,40.24,35.3,6.45,0.07,10,18,3,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0004,US-TX-E,57.86,16.73,12.66,0.77,0.08,14,18,8,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0005,US-PA-E,46.49,20.72,25.45,3.03,0.06,15,29,8,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0006,US-NY-W,38.87,37.61,33.07,1.82,0.03,2,12,0,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0007,US-CA-S,23.9,49.07,47.72,2.96,0.02,4,7,1,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0008,US-TX-E,18.17,41.38,46.28,5.12,0.06,15,20,8,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0009,US-PA-E,21.45,30.96,29.11,2.14,0.02,6,15,1,COMP-PD001,montelukast,Singulair,Merck,Leukotriene Inhibitor,Pediatrics
HCP0010,US-CA-S,29.78,42.86,42.45,2.12,0.02,6,13,3,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0011,US-TX-W,28.1,44.93,41.31,3.95,0.08,6,14,7,COMP-FM002,lisinopril,Prinivil,Merck,ACE Inhibitor,Family Medicine
HCP0012,US-FL-S,49.6,18.44,14.08,3.05,0.1,13,18,6,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0013,US-TX-W,44.01,12.29,16.14,6.01,0.08,10,13,4,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0014,US-PA-E,17.91,30.1,32.32,5.76,0.1,7,26,2,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0015,US-NY-E,52.08,20.15,17.14,2.99,0.02,6,5,2,COMP-OG002,ospemifene,Osphena,Duchesnay,SERM,Obstetrics & Gynecology
HCP0016,US-NY-W,10.97,57.87,61.66,6.65,0.03,2,12,0,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0017,US-TX-W,46.6,26.32,31.1,4.26,0.01,5,10,2,COMP-AI001,omalizumab,Xolair,Genentech,Anti-IgE,Allergy and Immunology
HCP0018,US-PA-W,58.22,28.58,31.13,5.52,0.07,11,31,7,COMP-P002,quetiapine,Seroquel,AstraZeneca,Atypical Antipsychotic,Psychiatry
HCP0019,US-TX-E,31.91,32.94,29.15,1.8,0.03,6,12,1,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0020,US-NY-W,13.55,48.93,46.22,7.24,0.09,6,26,3,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0021,US-CA-N,43.45,14.28,10.6,7.48,0.06,12,17,8,COMP-O002,trastuzumab,Herceptin,Roche,HER2 Inhibitor,Oncology
HCP0022,US-NY-W,50.37,13.81,9.78,3.45,0.04,5,6,0,COMP-DM002,ustekinumab,Stelara,Janssen,IL-12/23 Inhibitor,Dermatology
HCP0023,US-FL-N,30.13,28.48,32.1,1.99,0.02,5,9,3,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0024,US-TX-W,23.93,37.49,41.72,3.55,0.09,13,13,2,COMP-R001,adalimumab,Humira,AbbVie,TNF Inhibitor,Rheumatology
HCP0025,US-PA-W,58.45,28.53,32.02,1.33,0.05,3,17,0,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0026,US-CA-N,28.95,44.63,42.28,6.27,0.05,5,20,1,COMP-NP001,dapagliflozin,Farxiga,AstraZeneca,SGLT2,Nephrology
HCP0027,US-NY-E,24.84,59.06,59.85,4.34,0.07,5,11,6,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0028,US-PA-E,35.14,41.32,37.89,7.69,0.01,3,7,0,COMP-D002,empagliflozin,Jardiance,Boehringer,SGLT2,Endocrinology
HCP0029,US-PA-E,30.19,43.54,44.24,4.63,0,0,6,2,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0030,US-CA-N,56.74,14.09,16.25,1.91,0.04,4,19,2,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0031,US-TX-E,10.47,48.63,49.26,0.8,0.05,6,13,1,COMP-OG001,elagolix,Orilissa,AbbVie,GnRH Antagonist,Obstetrics & Gynecology
HCP0032,US-TX-W,54.04,27.59,26.29,1.26,0.08,9,29,8,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0033,US-NY-W,43.39,21.09,25.41,0.83,0.09,9,13,2,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0034,US-FL-N,23.62,48.14,50.32,1.63,0.06,9,26,5,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0035,US-NY-E,55.27,26.92,22.84,3.39,0.03,2,15,1,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0036,US-FL-S,58.99,13.23,12.65,5.65,0.06,6,12,7,COMP-D003,sitagliptin,Januvia,Merck,DPP-4,Endocrinology
HCP0037,US-NY-W,37.28,40.86,41.69,1.18,0.01,4,16,0,COMP-G001,adalimumab,Humira,AbbVie,TNF Inhibitor,Gastroenterology
HCP0038,US-CA-S,20.5,37.49,33.52,6.24,0.09,11,29,7,COMP-C002,atorvastatin,Lipitor,Pfizer,Statin,Cardiology
HCP0039,US-NY-W,56.29,14.73,11.36,6.4,0.02,5,5,1,COMP-O001,pembrolizumab,Keytruda,Merck,PD-1 Inhibitor,Oncology
HCP0040,US-NY-E,49.12,18.23,19.93,5.88,0.02,3,8,3,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0041,US-FL-S,52.93,14.45,17.62,3.68,0.03,3,12,0,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0042,US-PA-W,29.92,26.97,22.66,6.19,0.04,6,17,2,COMP-N001,natalizumab,Tysabri,Biogen,Integrin Inhibitor,Neurology
HCP0043,US-CA-N,15.77,59.11,55.9,7.7,0.03,2,18,2,COMP-C001,apixaban,Eliquis,BMS/Pfizer,DOAC,Cardiology
HCP0044,US-FL-S,31.82,44.61,40.77,7.2,0.02,2,18,0,COMP-N002,ocrelizumab,Ocrevus,Roche,CD20 Inhibitor,Neurology
HCP0045,US-CA-S,28.21,21.75,23.39,2.64,0.03,2,14,2,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0046,US-NY-W,26.31,37.43,37.97,1.53,0.07,11,31,7,COMP-PL002,fluticasone/salmeterol,Advair,GSK,ICS/LABA,Pulmonology
HCP0047,US-NY-W,40.78,16.02,16.5,0,0.03,5,15,3,COMP-NP001,dapagliflozin,Farxiga,AstraZeneca,SGLT2,Nephrology
HCP0048,US-CA-S,32.11,25.34,25.07,7.21,0.08,7,31,2,COMP-R002,upadacitinib,Rinvoq,AbbVie,JAK Inhibitor,Rheumatology
HCP0049,US-NY-W,35.77,35.82,34.17,6.55,0.08,15,19,3,COMP-G002,vedolizumab,Entyvio,Takeda,Integrin Inhibitor,Gastroenterology
HCP0050,US-NY-W,17.37,31.39,36.23,4.89,0.08,12,23,7,COMP-D001,semaglutide,Ozempic,Novo Nordisk,GLP-1,Endocrinology
HCP0051,US-TX-E,45.92,17.68,16.68,1.18,0.07,6,34,5,COMP-FM001,metformin,Glucophage,Merck,Biguanide,Family Medicine
HCP0052,US-NY-W,18.79,58.74,58.92,0.4,0.02,2,19,1,COMP-P001,aripiprazole,Abilify,Otsuka,Atypical Antipsychotic,Psychiatry
HCP0053,US-TX-W,43.38,29.76,30.71,7.6,0.09,14,36,7,COMP-AI002,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Allergy and Immunology
HCP0054,US-NY-W,31.34,42.67,42.13,1.27,0.09,12,18,8,COMP-C003,sacubitril/valsartan,Entresto,Novartis,ARNI,Cardiology
HCP0055,US-NY-E,51.99,15.55,18.33,3.88,0.02,5,7,2,COMP-DM001,dupilumab,Dupixent,Sanofi,IL-4/IL-13 Inhibitor,Dermatology
HCP0056,US-FL-S,23.59,39.59,39.99,1.11,0.02,3,11,0,COMP-PL001,tiotropium,Spiriva,Boehringer,LAMA,Pulmonology
HCP0057,US-FL-S,30.38,33.57,32.73,1.65,0.04,6,5,3,COMP-PD002,methylphenidate,Ritalin,Novartis,Stimulant,Pediatrics
HCP0058,US-FL-S,10.29,40.55,43.08,6.83,0.1,11,27,7,COMP-OG002,ospemifene,Osphena,Duchesnay,SERM,Obstetrics & Gynecology
