campaign_id,user_id,hcp_id,campaign_name,channel,start_date,end_date,content_type,budget,target_segment,status
CMP000001,USR000012,HCP000165,Joint Health Campaign,Webinar,3/28/2023,10/6/2023,Whitepaper,57060,Medium,Active
CMP000002,USR000020,HCP000136,Nephrology Advancement,Event,3/15/2025,5/13/2025,Newsletter,91194,Low,Planned
CMP000003,USR000020,HCP000340,Pediatrics Growth Program,Event,4/17/2024,8/22/2024,Infographic,86218,High,Planned
CMP000004,USR000009,HCP000077,Pediatrics Growth Program,Social Media,9/9/2023,1/22/2025,Newsletter,79771,Medium,Completed
CMP000005,USR000019,HCP000088,Skin Care Innovation,Webinar,12/17/2023,9/10/2024,Video,55835,Low,Active
CMP000006,USR000002,HCP000266,Respiratory Health Focus,Social Media,3/17/2025,7/5/2025,Newsletter,50244,Medium,Active
CMP000007,USR000020,HCP000143,Heart Health Awareness,Webinar,5/3/2023,5/26/2024,Whitepaper,71871,Medium,Completed
CMP000008,USR000016,HCP000144,Cardio Awareness Campaign,Webinar,11/1/2023,12/31/2024,Newsletter,73374,High,Planned
CMP000009,USR000012,HCP000084,Oncology Insights Initiative,Email,7/14/2023,10/26/2024,Webinar,55122,Medium,Planned
CMP000010,USR000011,HCP000049,Skin Care Innovation,Webinar,8/12/2025,11/23/2025,Webinar,52110,Medium,Completed
CMP000011,USR000014,HCP000094,Respiratory Health Focus,Email,5/26/2023,7/14/2025,Webinar,91329,High,Completed
CMP000012,USR000012,HCP000075,Cardio Awareness Campaign,Webinar,9/22/2025,10/24/2025,Infographic,57325,Low,Completed
CMP000013,USR000020,HCP000033,Mental Health Awareness,Webinar,7/8/2025,10/28/2025,Whitepaper,58853,Medium,Active
CMP000014,USR000005,HCP000055,Endocrine Health Drive,Email,8/28/2023,5/19/2024,Whitepaper,73414,High,Active
CMP000015,USR000001,HCP000150,Endocrine Health Drive,Email,10/20/2025,12/19/2025,Newsletter,92286,High,Active
CMP000016,USR000018,HCP000067,Neurology Breakthrough Series,Email,7/29/2025,10/2/2025,Infographic,78008,Medium,Active
CMP000017,USR000005,HCP000071,Psychiatric Wellness Initiative,Email,5/25/2025,6/9/2025,Whitepaper,41648,Low,Active
CMP000018,USR000005,HCP000375,Respiratory Health Focus,Email,2/14/2023,6/20/2023,Newsletter,68542,Medium,Active
CMP000019,USR000007,HCP000410,Urology Innovation,Webinar,3/12/2023,12/2/2025,Newsletter,44136,Low,Active
CMP000020,USR000013,HCP000412,Oncology Insights Initiative,Webinar,6/14/2025,9/24/2025,Webinar,76152,High,Active
CMP000021,USR000018,HCP000191,Respiratory Health Focus,Webinar,10/8/2025,10/28/2025,Whitepaper,74256,Medium,Active
CMP000022,USR000014,HCP000196,Respiratory Health Focus,Webinar,6/7/2025,11/15/2025,Newsletter,55659,Low,Active
CMP000023,USR000004,HCP000148,Cardio Awareness Campaign 2024,Email,8/18/2025,12/20/2025,Webinar,57689,Medium,Completed
CMP000024,USR000012,HCP000496,Pulmonary Care Campaign 2025,Social Media,2/17/2023,3/31/2025,Webinar,94977,High,Completed
CMP000025,USR000011,HCP000320,General Practice Outreach Q1,Webinar,9/1/2025,12/15/2025,Whitepaper,75912,High,Completed
CMP000026,USR000017,HCP000014,Pulmonary Care Campaign Q2,Email,3/25/2024,8/5/2025,Whitepaper,63663,Medium,Planned
CMP000027,USR000009,HCP000483,Cardio Awareness Campaign Q3,Email,4/14/2024,4/24/2025,Webinar,82676,High,Planned
CMP000028,USR000014,HCP000494,Respiratory Health Focus Q4,Social Media,1/16/2024,10/2/2025,Video,71409,High,Completed
CMP000029,USR000015,HCP000172,Cardio Awareness Campaign 2023,Social Media,11/30/2025,12/19/2025,Whitepaper,91337,High,Completed
CMP000030,USR000010,HCP000355,Skin Care Innovation 2024,Webinar,4/7/2024,3/25/2025,Webinar,78545,Medium,Completed
CMP000031,USR000010,HCP000093,Joint Health Campaign 2025,Email,4/24/2023,7/26/2023,Infographic,70372,High,Completed
CMP000032,USR000007,HCP000215,Cardio Awareness Campaign Q1,Email,9/3/2023,7/16/2025,Whitepaper,78496,Medium,Completed
CMP000033,USR000013,HCP000088,Mental Health Awareness Q2,Social Media,10/7/2024,10/18/2025,Infographic,57810,Low,Planned
CMP000034,USR000009,HCP000052,Nephrology Advancement Q3,Webinar,12/22/2024,3/11/2025,Video,43003,Low,Planned
CMP000035,USR000018,HCP000431,Cardio Awareness Campaign Q4,Email,6/12/2024,9/26/2025,Infographic,65588,Medium,Active
CMP000036,USR000010,HCP000054,Dermatology Excellence 2023,Email,8/12/2023,12/9/2024,Infographic,47083,Low,Active
CMP000037,USR000016,HCP000253,Mental Health Awareness 2024,Email,5/11/2024,12/2/2025,Video,57689,Medium,Completed
CMP000038,USR000011,HCP000463,Rheumatology Focus 2025,Webinar,6/20/2024,4/25/2025,Newsletter,92257,High,Completed
CMP000039,USR000007,HCP000362,Kidney Care Initiative Q1,Social Media,7/23/2023,2/17/2025,Infographic,84728,High,Completed
CMP000040,USR000001,HCP000016,Heart Health Awareness Q2,Email,3/10/2025,10/14/2025,Infographic,83746,High,Completed
CMP000041,USR000018,HCP000090,Joint Health Campaign Q3,Social Media,6/14/2023,10/21/2024,Video,95414,High,Planned
CMP000042,USR000009,HCP000287,Endocrine Health Drive Q4,Webinar,1/11/2024,1/7/2025,Video,70364,High,Planned
CMP000043,USR000020,HCP000290,Rheumatology Focus 2023,Webinar,7/10/2023,8/28/2024,Video,94544,High,Completed
CMP000044,USR000002,HCP000192,Neurology Breakthrough Series 2024,Webinar,11/29/2024,6/9/2025,Newsletter,45344,Low,Completed
CMP000045,USR000020,HCP000073,Brain Health Initiative 2025,Webinar,8/7/2023,1/4/2024,Webinar,56533,Medium,Completed
CMP000046,USR000019,HCP000073,General Practice Outreach Q1,Webinar,3/20/2023,6/12/2024,Video,75756,High,Completed
CMP000047,USR000013,HCP000299,Kidney Care Initiative Q2,Webinar,8/19/2024,12/9/2025,Infographic,45372,Low,Completed
CMP000048,USR000013,HCP000156,Urology Innovation Q3,Email,10/11/2024,4/21/2025,Newsletter,77378,High,Completed
CMP000049,USR000017,HCP000068,Cancer Care Excellence Q4,Webinar,9/6/2023,1/26/2025,Infographic,75500,Medium,Active
CMP000050,USR000003,HCP000111,Urology Innovation 2023,Email,6/16/2025,10/15/2025,Webinar,88761,High,Active
CMP000051,USR000018,HCP000182,Oncology Insights Initiative 2024,Email,10/22/2023,6/25/2024,Whitepaper,42586,Low,Active
CMP000052,USR000005,HCP000307,Cardio Awareness Campaign 2025,Email,2/13/2025,8/31/2025,Webinar,79480,Medium,Active
CMP000053,USR000007,HCP000138,Brain Health Initiative Q1,Event,12/26/2024,7/7/2025,Video,98590,High,Active
CMP000054,USR000007,HCP000211,Dermatology Excellence Q2,Email,4/24/2024,5/15/2025,Whitepaper,49476,Low,Active
CMP000055,USR000006,HCP000038,Mental Health Awareness Q3,Webinar,2/6/2023,6/25/2023,Video,56679,Low,Active
CMP000056,USR000015,HCP000249,Pulmonary Care Campaign Q4,Webinar,9/2/2024,9/29/2025,Webinar,52614,Low,Active
CMP000057,USR000009,HCP000234,Brain Health Initiative 2023,Email,12/11/2024,12/21/2025,Webinar,74153,Medium,Completed
CMP000058,USR000007,HCP000124,Pediatrics Growth Program 2024,Social Media,1/9/2024,6/24/2024,Video,64172,Medium,Completed
CMP000059,USR000014,HCP000442,Psychiatric Wellness Initiative 2025,Social Media,6/25/2025,9/1/2025,Infographic,65234,Medium,Completed
CMP000060,USR000005,HCP000486,Brain Health Initiative Q1,Event,3/17/2023,6/3/2023,Infographic,88074,Medium,Completed
CMP000061,USR000001,HCP000235,Rheumatology Focus Q2,Webinar,3/13/2024,4/1/2025,Video,44611,Low,Planned
CMP000062,USR000017,HCP000164,Diabetes Management Q3,Event,7/17/2025,12/27/2025,Webinar,71597,Medium,Planned
CMP000063,USR000011,HCP000070,Brain Health Initiative Q4,Event,10/13/2025,12/17/2025,Newsletter,94714,Medium,Completed
CMP000064,USR000005,HCP000175,Cardio Awareness Campaign 2023,Webinar,1/1/2025,4/21/2025,Newsletter,63269,Medium,Planned
CMP000065,USR000002,HCP000064,Diabetes Management 2024,Social Media,4/13/2025,4/16/2025,Video,63091,Medium,Planned
CMP000066,USR000013,HCP000257,Rheumatology Focus 2025,Email,6/16/2023,4/15/2025,Video,85261,High,Completed
CMP000067,USR000001,HCP000357,Cardio Awareness Campaign Q1,Webinar,7/28/2023,9/10/2024,Whitepaper,55930,Low,Completed
CMP000068,USR000015,HCP000056,Pulmonary Care Campaign Q2,Social Media,7/22/2024,5/31/2025,Whitepaper,70432,High,Completed
CMP000069,USR000010,HCP000234,Cardio Awareness Campaign Q3,Email,7/22/2024,8/26/2024,Whitepaper,40256,Low,Completed
CMP000070,USR000002,HCP000329,Neurology Breakthrough Series Q4,Email,9/14/2024,10/23/2024,Infographic,54529,Medium,Completed
CMP000071,USR000012,HCP000444,Joint Health Campaign 2023,Social Media,6/4/2025,8/18/2025,Infographic,59776,Medium,Completed
CMP000072,USR000018,HCP000293,Mental Health Awareness 2024,Email,7/17/2024,9/19/2025,Webinar,57360,Low,Completed
CMP000073,USR000020,HCP000230,Cancer Care Excellence 2025,Social Media,3/24/2024,5/20/2024,Whitepaper,66630,Medium,Completed
CMP000074,USR000012,HCP000401,Skin Care Innovation Q1,Webinar,8/23/2024,9/18/2025,Whitepaper,67096,Medium,Completed
CMP000075,USR000012,HCP000302,Brain Health Initiative Q2,Email,11/30/2024,7/5/2025,Webinar,72108,High,Active
CMP000076,USR000010,HCP000080,Pulmonary Care Campaign Q3,Email,8/26/2025,12/22/2025,Webinar,77181,Medium,Active
CMP000077,USR000011,HCP000112,Rheumatology Focus Q4,Event,7/4/2023,1/19/2024,Infographic,77838,Medium,Completed
CMP000078,USR000003,HCP000361,Mental Health Awareness 2023,Email,5/31/2023,1/31/2025,Whitepaper,73453,Medium,Completed
CMP000079,USR000005,HCP000302,Dermatology Excellence 2024,Social Media,8/2/2024,4/22/2025,Webinar,84106,High,Completed
CMP000080,USR000017,HCP000173,Joint Health Campaign 2025,Email,5/16/2025,10/4/2025,Newsletter,44242,Low,Planned
CMP000081,USR000008,HCP000166,Cardio Awareness Campaign Q1,Webinar,8/13/2023,6/17/2024,Webinar,78080,High,Planned
CMP000082,USR000016,HCP000379,Kidney Care Initiative Q2,Social Media,7/24/2025,10/30/2025,Newsletter,62751,Medium,Completed
CMP000083,USR000017,HCP000487,Oncology Insights Initiative Q3,Social Media,9/15/2024,10/8/2025,Webinar,73756,Medium,Active
CMP000084,USR000019,HCP000493,Neurology Breakthrough Series Q4,Email,3/4/2023,5/13/2023,Newsletter,67288,Medium,Active
CMP000085,USR000018,HCP000203,Endocrine Health Drive 2023,Webinar,3/2/2023,9/30/2023,Newsletter,73729,Medium,Completed
CMP000086,USR000007,HCP000384,Cardio Awareness Campaign 2024,Webinar,6/1/2024,6/3/2025,Webinar,52671,Low,Completed
CMP000087,USR000019,HCP000337,Skin Care Innovation 2025,Webinar,3/17/2025,9/10/2025,Infographic,95039,High,Completed
CMP000088,USR000012,HCP000023,Dermatology Excellence Q1,Webinar,8/20/2023,10/28/2025,Whitepaper,50846,Low,Active
CMP000089,USR000017,HCP000423,General Practice Outreach Q2,Social Media,8/6/2023,12/27/2024,Webinar,63113,Medium,Active
CMP000090,USR000020,HCP000338,Pediatrics Growth Program Q3,Social Media,8/10/2025,10/10/2025,Infographic,74530,Medium,Active
CMP000091,USR000010,HCP000320,Nephrology Advancement Q4,Email,9/10/2023,5/12/2025,Newsletter,40671,Low,Active
CMP000092,USR000020,HCP000051,Endocrine Health Drive 2023,Social Media,8/15/2025,10/12/2025,Infographic,64260,Medium,Completed
CMP000093,USR000015,HCP000490,Kidney Care Initiative 2024,Email,7/11/2025,9/14/2025,Whitepaper,80825,High,Completed
CMP000094,USR000001,HCP000131,Diabetes Management 2025,Email,2/27/2025,9/12/2025,Newsletter,77115,Medium,Completed
CMP000095,USR000004,HCP000241,Neurology Breakthrough Series Q1,Email,4/6/2025,10/13/2025,Newsletter,53411,Low,Completed
CMP000096,USR000009,HCP000151,Cancer Care Excellence Q2,Webinar,5/24/2025,9/17/2025,Whitepaper,54482,Medium,Planned
CMP000097,USR000009,HCP000122,Pediatrics Growth Program Q3,Webinar,1/7/2025,11/19/2025,Webinar,51545,Low,Planned
CMP000098,USR000003,HCP000449,Neurology Breakthrough Series Q4,Webinar,1/26/2023,8/20/2024,Webinar,84318,High,Completed
CMP000099,USR000014,HCP000369,Mental Health Awareness 2023,Email,5/29/2024,11/3/2025,Webinar,72837,High,Completed
CMP000100,USR000012,HCP000055,Cancer Care Excellence 2024,Event,6/20/2023,3/28/2025,Whitepaper,85856,Medium,Completed
CMP000101,USR000006,HCP000159,Respiratory Health Focus 2025,Webinar,6/25/2025,8/23/2025,Whitepaper,46468,Low,Completed
CMP000102,USR000010,HCP000041,Skin Care Innovation Q1,Email,12/4/2025,12/5/2025,Whitepaper,66009,Medium,Completed
CMP000103,USR000019,HCP000087,Heart Health Awareness Q2,Social Media,7/16/2025,10/16/2025,Video,59867,Low,Planned
CMP000104,USR000005,HCP000120,Heart Health Awareness Q3,Social Media,2/17/2024,7/10/2025,Whitepaper,76391,High,Planned
CMP000105,USR000018,HCP000096,Neurology Breakthrough Series Q4,Webinar,6/17/2025,9/13/2025,Newsletter,56429,Medium,Completed
CMP000106,USR000008,HCP000463,Kidney Care Initiative 2023,Email,3/21/2023,9/12/2025,Newsletter,94188,High,Completed
CMP000107,USR000002,HCP000122,Mental Health Awareness 2024,Social Media,1/16/2025,3/23/2025,Newsletter,47973,Low,Completed
CMP000108,USR000020,HCP000016,Cardio Awareness Campaign 2025,Social Media,3/25/2025,11/24/2025,Video,72727,Medium,Completed
CMP000109,USR000020,HCP000042,Kidney Care Initiative Q1,Social Media,8/20/2025,11/1/2025,Video,69517,Medium,Completed
CMP000110,USR000010,HCP000179,Urology Innovation Q2,Webinar,8/18/2023,8/28/2024,Whitepaper,53960,Low,Completed
CMP000111,USR000018,HCP000408,Skin Care Innovation Q3,Webinar,2/19/2023,7/27/2025,Newsletter,60720,Medium,Active
CMP000112,USR000011,HCP000417,Pulmonary Care Campaign Q4,Webinar,12/24/2025,12/25/2025,Newsletter,55150,Low,Active
CMP000113,USR000009,HCP000281,Kidney Care Initiative 2023,Webinar,10/24/2023,11/22/2023,Infographic,81236,High,Completed
CMP000114,USR000006,HCP000017,Cardio Awareness Campaign 2024,Email,11/16/2024,7/17/2025,Infographic,93017,High,Active
CMP000115,USR000018,HCP000154,Dermatology Excellence 2025,Event,10/12/2024,2/6/2025,Infographic,80546,High,Active
CMP000116,USR000001,HCP000411,Pediatrics Growth Program Q1,Webinar,10/3/2024,3/10/2025,Whitepaper,77116,Medium,Active
CMP000117,USR000003,HCP000037,Heart Health Awareness Q2,Email,9/29/2024,10/23/2025,Video,97757,High,Active
CMP000118,USR000008,HCP000032,Rheumatology Focus Q3,Webinar,8/7/2025,11/6/2025,Newsletter,80583,High,Completed
CMP000119,USR000014,HCP000033,Dermatology Excellence Q4,Webinar,4/7/2023,11/7/2023,Video,61219,Medium,Planned
CMP000120,USR000011,HCP000336,Psychiatric Wellness Initiative 2023,Email,3/16/2025,6/4/2025,Infographic,56780,Medium,Planned
CMP000121,USR000009,HCP000457,Mental Health Awareness 2024,Webinar,5/21/2025,9/24/2025,Webinar,61528,Medium,Completed
CMP000122,USR000001,HCP000001,Joint Health Campaign 2025,Social Media,10/25/2025,12/10/2025,Newsletter,68321,Medium,Completed
CMP000123,USR000017,HCP000338,Urology Innovation Q1,Email,3/27/2025,8/20/2025,Newsletter,77953,High,Completed
CMP000124,USR000005,HCP000183,Cardio Awareness Campaign Q2,Event,5/2/2024,9/13/2024,Newsletter,96617,Medium,Completed
CMP000125,USR000015,HCP000146,Endocrine Health Drive Q3,Email,12/15/2024,12/4/2025,Video,72048,Medium,Active
CMP000126,USR000016,HCP000345,Rheumatology Focus Q4,Email,4/8/2025,8/18/2025,Whitepaper,53034,Low,Active
CMP000127,USR000017,HCP000229,Dermatology Excellence 2023,Social Media,4/28/2025,9/12/2025,Infographic,77211,Medium,Completed
CMP000128,USR000003,HCP000033,Heart Health Awareness 2024,Webinar,11/15/2025,12/22/2025,Newsletter,47938,Low,Completed
CMP000129,USR000007,HCP000347,Diabetes Management 2025,Email,11/23/2025,12/24/2025,Whitepaper,55041,Medium,Completed
CMP000130,USR000014,HCP000323,Pediatrics Growth Program Q1,Email,12/13/2025,12/19/2025,Video,93748,High,Completed
CMP000131,USR000010,HCP000473,Rheumatology Focus Q2,Email,8/5/2025,11/7/2025,Newsletter,57973,Low,Active
CMP000132,USR000017,HCP000215,Heart Health Awareness Q3,Email,10/26/2023,11/11/2024,Video,65588,Medium,Active
CMP000133,USR000018,HCP000245,Pediatrics Growth Program Q4,Social Media,3/9/2024,5/16/2025,Infographic,58055,Medium,Active
CMP000134,USR000004,HCP000373,Nephrology Advancement 2023,Webinar,4/8/2024,9/29/2024,Webinar,82043,High,Active
CMP000135,USR000005,HCP000069,Heart Health Awareness 2024,Webinar,4/7/2024,11/26/2025,Whitepaper,54102,Medium,Completed
CMP000136,USR000002,HCP000266,Joint Health Campaign 2025,Email,3/24/2024,9/22/2025,Whitepaper,52500,Low,Completed
CMP000137,USR000015,HCP000110,Skin Care Innovation Q1,Social Media,11/18/2023,5/7/2025,Newsletter,71004,High,Completed
CMP000138,USR000001,HCP000157,Endocrine Health Drive Q2,Social Media,1/29/2025,6/1/2025,Infographic,58606,Medium,Completed
CMP000139,USR000003,HCP000015,General Practice Outreach Q3,Email,1/15/2025,5/30/2025,Webinar,59171,Low,Completed
CMP000140,USR000006,HCP000296,Endocrine Health Drive Q4,Webinar,5/20/2025,9/3/2025,Video,88928,High,Active
CMP000141,USR000003,HCP000292,Cardio Awareness Campaign 2023,Social Media,3/23/2024,6/25/2024,Infographic,75266,High,Active
CMP000142,USR000016,HCP000164,Nephrology Advancement 2024,Event,6/9/2025,11/3/2025,Whitepaper,87772,Medium,Active
CMP000143,USR000008,HCP000452,Cardio Awareness Campaign 2025,Email,9/4/2024,5/30/2025,Whitepaper,57165,Low,Active
CMP000144,USR000009,HCP000053,Rheumatology Focus Q1,Email,8/16/2023,11/9/2024,Infographic,62510,Medium,Completed
CMP000145,USR000016,HCP000351,Heart Health Awareness Q2,Email,3/7/2023,5/26/2024,Infographic,48009,Low,Completed
CMP000146,USR000019,HCP000257,General Practice Outreach Q3,Email,5/3/2023,10/22/2024,Video,57713,Low,Completed
CMP000147,USR000016,HCP000183,Endocrine Health Drive Q4,Email,11/18/2024,6/5/2025,Newsletter,71573,High,Completed
