hcp_id,territory_id,call_id,call_datetime_local,call_duration_minutes,transcript_text,structured_call_summary,key_topics_tags,objection_categories,compliance_redaction_flag
HCP0001,US-CA-SF01,CALL03000,11-11-2025 10:06,22,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed switching and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Switching and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"washout,coverage,brand_switch,efficacy_vs_competitor,tier_change,restriction",Prior authorization burden,0
HCP0002,US-CA-SF01,CALL03001,11-07-2025 12:20,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed patient selection and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Patient Selection and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,comorbidities,mode_of_action,pharmacology,eligibility,age_group",Cost concerns,0
HCP0003,US-CA-SF01,CALL03002,10-26-2025 07:58,9,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed adherence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Adherence and Formulary. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"followup,pill_burden,coverage,restriction,support_program,tier_change",None,0
HCP0004,US-CA-SF01,CALL03003,12-09-2025 11:56,3,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed dosing and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Dosing and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,dosing,mode_of_action,pharmacology,titration,frequency",Efficacy concerns,1
HCP0005,US-CA-SF01,CALL03004,11-10-2025 17:32,11,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,rwe,outcomes,tolerability,monitoring,adverse_events",Cost concerns,0
HCP0006,US-CA-SF01,CALL03005,11-10-2025 07:43,10,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed adherence and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is PA workload. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Adherence and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,followup,pill_burden,mode_of_action,pharmacology,support_program",Prior authorization burden,0
HCP0007,US-CA-SF01,CALL03006,12-09-2025 01:24,8,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed moa review and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed MOA Review and Switching. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,washout,mode_of_action,pharmacology,efficacy_vs_competitor,brand_switch",Prefers competitor,0
HCP0008,US-CA-SF01,CALL03007,12-08-2025 07:00,13,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Real-world Evidence. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"registries,rwe,outcomes,tolerability,monitoring,adverse_events",None,0
HCP0009,US-CA-SF01,CALL03008,12-05-2025 09:20,14,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is monitoring requirements. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and Payer Coverage. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"formularies,prior_auth,tolerability,copay,monitoring,adverse_events",Side-effect risk,1
HCP0010,US-CA-SF01,CALL03009,11-14-2025 00:52,5,"Rep: Good morning Doctor, thank you for your time. HCP: We discussed side effects and how it applies to my patients. Rep: I shared the latest clinical data and the dosing schedule. Rep: Mentioned recent study (2024) showing reduced hospitalization rates. HCP: My main concern is cost. Rep: We can provide a payer cheat-sheet and a PA starter template. HCP: Please send the sample and relevant documentation. Rep: I will follow up with the materials and scheduling.",Discussed Side Effects and MOA Review. | Action: send sample request if eligible (qty suggested). | Access: potential prior auth required; provide PA template.,"mechanism,pharmacology,tolerability,mode_of_action,monitoring,adverse_events",Prefers competitor,0
