hcp_id,product_id,perception_score,key_drivers,liked_attributes
HCP000107,PRD000016,3.58,Convenience,High efficacy
HCP000265,PRD000018,1.42,Convenience,Rapid onset
HCP000476,PRD000010,1.03,Convenience,Minimal interactions
HCP000343,PRD000047,1.02,Efficacy,Rapid onset
HCP000309,PRD000040,3.55,Efficacy,Rapid onset
HCP000239,PRD000005,1.68,Efficacy,Low side effects
HCP000254,PRD000005,3.34,Safety,Innovative delivery
HCP000107,PRD000039,2.86,Real-world evidence,Low side effects
HCP000082,PRD000048,4.92,Ease of use,Long-term data
HCP000366,PRD000038,1.72,Safety,Innovative delivery
HCP000065,PRD000038,3.35,Efficacy,Once-daily dosing
HCP000171,PRD000013,1.57,Cost,Once-daily dosing
HCP000209,PRD000017,1.87,Efficacy,Innovative delivery
HCP000029,PRD000048,2.1,Safety,Minimal interactions
HCP000116,PRD000042,2.96,Convenience,Minimal interactions
HCP000053,PRD000026,2.84,Efficacy,Affordable pricing
HCP000156,PRD000002,4.96,Ease of use,Innovative delivery
HCP000471,PRD000045,1.91,Convenience,Rapid onset
HCP000289,PRD000011,3.54,Ease of use,Once-daily dosing
HCP000304,PRD000003,1.28,Efficacy,Rapid onset
HCP000455,PRD000028,2.88,Cost,Affordable pricing
HCP000191,PRD000005,1.58,Safety,Innovative delivery
HCP000106,PRD000012,4.82,Ease of use,Low side effects
HCP000475,PRD000018,2.24,Safety,Innovative delivery
HCP000005,PRD000029,3.57,Efficacy,Minimal interactions
HCP000106,PRD000005,4.15,Cost,Once-daily dosing
HCP000212,PRD000008,3.33,Efficacy,Long-term data
HCP000350,PRD000027,2.36,Ease of use,Innovative delivery
HCP000474,PRD000036,2.98,Convenience,Once-daily dosing
HCP000114,PRD000001,1.41,Cost,High efficacy
HCP000479,PRD000044,2.52,Safety,Innovative delivery
HCP000146,PRD000047,3.97,Cost,Low side effects
HCP000186,PRD000021,2.62,Convenience,High efficacy
HCP000171,PRD000021,1.61,Cost,Minimal interactions
HCP000060,PRD000024,3.04,Efficacy,Minimal interactions
HCP000408,PRD000040,3.64,Cost,Rapid onset
HCP000262,PRD000048,3.91,Safety,Long-term data
HCP000215,PRD000046,4.66,Real-world evidence,Minimal interactions
HCP000394,PRD000043,2.59,Ease of use,Affordable pricing
HCP000295,PRD000024,1.68,Cost,Once-daily dosing
HCP000061,PRD000041,4.1,Cost,Affordable pricing
