campaign_id,hcp_id,start_date,end_date,reach,engagement_rate,conversion_rate,downloads,impressions,clicks,conversions,roi,month_key,quarter_key,year_key,engaged_interactions,total_interactions,engagement_date,engagement_type,time_spent_minutes
CMP000089,HCP000345,2024-07-27,2025-07-15,0.2,0.38,0.09,26,7975,1075,915,0.38,7,Q3,2024,36,45,2025-02-01,view,25.1
CMP000044,HCP000062,2024-05-23,2025-08-18,0.42,0.39,0.14,12,8483,1463,897,2.72,5,Q2,2024,16,44,2024-05-24,conversion,13.0
CMP000043,HCP000352,2023-05-25,2025-05-06,0.54,0.19,0.3,8,2657,6285,342,1.78,5,Q2,2023,16,20,2024-09-29,click,29.8
CMP000262,HCP000379,2025-10-28,2025-12-01,0.83,0.3,0.13,5,4571,3292,867,2.86,10,Q4,2025,52,67,2025-10-31,conversion,15.8
CMP000215,HCP000077,2025-04-10,2025-09-11,0.71,0.27,0.28,91,6434,533,914,1.74,4,Q2,2025,47,51,2025-05-22,view,19.8
CMP000133,HCP000394,2024-10-29,2025-04-11,0.85,0.16,0.06,14,4754,4470,367,0.1,10,Q4,2024,99,120,2025-02-02,conversion,27.5
CMP000098,HCP000377,2024-02-22,2024-10-29,0.72,0.27,0.05,55,8624,6392,67,1.88,2,Q1,2024,93,135,2024-06-11,conversion,13.7
CMP000186,HCP000046,2024-06-08,2025-08-07,0.69,0.29,0.27,87,9008,6009,447,2.12,6,Q2,2024,51,60,2024-09-17,conversion,7.6
CMP000292,HCP000285,2025-05-29,2025-12-03,0.15,0.39,0.11,91,2688,2547,877,0.76,5,Q2,2025,65,69,2025-10-29,click,5.2
CMP000240,HCP000226,2024-06-17,2025-11-29,0.45,0.17,0.11,97,2167,3590,120,1.66,6,Q2,2024,81,84,2024-07-24,click,22.3
CMP000089,HCP000161,2023-03-13,2023-08-14,0.4,0.19,0.15,36,3825,8514,732,0.76,3,Q1,2023,6,33,2023-07-12,conversion,16.6
CMP000140,HCP000169,2024-12-14,2024-12-20,0.32,0.17,0.2,53,5936,2153,967,1.04,12,Q4,2024,9,11,2024-12-14,click,13.2
CMP000349,HCP000364,2023-09-03,2025-07-19,0.37,0.17,0.02,68,6609,3313,769,0.16,9,Q3,2023,71,78,2024-08-22,view,7.2
CMP000066,HCP000431,2023-01-02,2024-10-27,0.11,0.22,0.2,44,7807,4097,335,1.64,1,Q1,2023,23,32,2023-06-08,click,9.9
