content_id,campaign_id,content_type,impressions,clicks,conversions,engagement_rate,conversion_rate
CNT000001,CMP000062,Newsletter,6767,616,117,0.09,0.19
CNT000002,CMP000303,Webinar,5348,783,176,0.15,0.22
CNT000003,CMP000160,Infographic,5300,316,147,0.06,0.47
CNT000004,CMP000368,Blog Post,1759,616,218,0.35,0.35
CNT000005,CMP000017,Newsletter,9621,357,147,0.04,0.41
CNT000006,CMP000174,Newsletter,6273,744,251,0.12,0.34
CNT000007,CMP000304,Case Study,2050,451,69,0.22,0.15
CNT000008,CMP000202,Webinar,3921,630,30,0.16,0.05
CNT000009,CMP000152,Whitepaper,9167,656,238,0.07,0.36
CNT000010,CMP000125,Webinar,8142,930,245,0.11,0.26
CNT000011,CMP000162,Webinar,7931,402,77,0.05,0.19
CNT000012,CMP000173,Newsletter,8849,608,270,0.07,0.44
CNT000013,CMP000217,Infographic,5370,255,49,0.05,0.19
CNT000014,CMP000273,Newsletter,1092,91,116,0.08,1.27
CNT000015,CMP000328,Infographic,9556,870,144,0.09,0.17
CNT000016,CMP000389,Newsletter,6181,540,282,0.09,0.52
CNT000017,CMP000229,Newsletter,9194,470,227,0.05,0.48
CNT000018,CMP000399,Blog Post,7575,185,12,0.02,0.06
CNT000019,CMP000193,Infographic,1872,167,163,0.09,0.98
CNT000020,CMP000209,Webinar,5722,574,78,0.1,0.14
CNT000021,CMP000333,Infographic,7655,96,269,0.01,2.8
CNT000022,CMP000228,Podcast,8859,571,293,0.06,0.51
CNT000023,CMP000377,Whitepaper,4723,367,185,0.08,0.5
CNT000024,CMP000323,Whitepaper,5064,635,152,0.13,0.24
CNT000025,CMP000292,Whitepaper,4695,767,140,0.16,0.18
CNT000026,CMP000369,Case Study,9561,628,95,0.07,0.15
CNT000027,CMP000275,Blog Post,1949,374,19,0.19,0.05
CNT000028,CMP000397,Blog Post,2482,673,33,0.27,0.05
CNT000029,CMP000291,Blog Post,3215,670,199,0.21,0.3
CNT000030,CMP000355,Newsletter,9736,766,191,0.08,0.25
CNT000031,CMP000147,Blog Post,3827,60,79,0.02,1.32
CNT000032,CMP000256,Newsletter,1730,858,268,0.5,0.31
CNT000033,CMP000003,Newsletter,7299,712,185,0.1,0.26
CNT000034,CMP000195,Webinar,7615,668,143,0.09,0.21
CNT000035,CMP000276,Blog Post,5959,429,164,0.07,0.38
CNT000036,CMP000277,Newsletter,1881,62,44,0.03,0.71
CNT000037,CMP000047,Whitepaper,1158,686,119,0.59,0.17
CNT000038,CMP000037,Case Study,8514,793,133,0.09,0.17
CNT000039,CMP000279,Podcast,9302,685,39,0.07,0.06
CNT000040,CMP000115,Webinar,4283,599,92,0.14,0.15
CNT000041,CMP000027,Infographic,3419,264,230,0.08,0.87
CNT000042,CMP000015,Blog Post,3306,827,129,0.25,0.16
CNT000043,CMP000128,Blog Post,3570,737,142,0.21,0.19
CNT000044,CMP000325,Webinar,6645,99,81,0.01,0.82
CNT000045,CMP000069,Podcast,3430,65,65,0.02,1.0
CNT000046,CMP000105,Newsletter,3019,609,257,0.2,0.42
CNT000047,CMP000273,Podcast,4909,897,47,0.18,0.05
CNT000048,CMP000357,Whitepaper,4081,282,45,0.07,0.16
CNT000049,CMP000004,Newsletter,8422,789,123,0.09,0.16
CNT000050,CMP000237,Case Study,1465,978,286,0.67,0.29
CNT000051,CMP000335,Whitepaper,5536,118,239,0.02,2.03
CNT000052,CMP000067,Newsletter,6024,597,168,0.1,0.28
CNT000053,CMP000149,Blog Post,3631,297,110,0.08,0.37
CNT000054,CMP000190,Webinar,3369,445,287,0.13,0.64
CNT000055,CMP000017,Podcast,5675,689,105,0.12,0.15
CNT000056,CMP000395,Infographic,5905,229,190,0.04,0.83
CNT000057,CMP000235,Podcast,2360,57,36,0.02,0.63
CNT000058,CMP000308,Webinar,4925,321,14,0.07,0.04
CNT000059,CMP000082,Blog Post,2242,167,90,0.07,0.54
CNT000060,CMP000070,Blog Post,7406,355,151,0.05,0.43
CNT000061,CMP000207,Podcast,2440,604,294,0.25,0.49
CNT000062,CMP000128,Infographic,5996,270,126,0.05,0.47
CNT000063,CMP000070,Webinar,7765,476,141,0.06,0.3
CNT000064,CMP000056,Case Study,9792,186,140,0.02,0.75
CNT000065,CMP000218,Blog Post,2152,106,190,0.05,1.79
CNT000066,CMP000246,Blog Post,9559,508,227,0.05,0.45
CNT000067,CMP000104,Podcast,6977,205,62,0.03,0.3
CNT000068,CMP000329,Newsletter,9890,925,159,0.09,0.17
CNT000069,CMP000264,Webinar,1944,859,220,0.44,0.26
CNT000070,CMP000025,Whitepaper,6783,585,261,0.09,0.45
CNT000071,CMP000060,Blog Post,9625,928,75,0.1,0.08
CNT000072,CMP000398,Case Study,7047,155,105,0.02,0.68
CNT000073,CMP000176,Podcast,5263,91,113,0.02,1.24
CNT000074,CMP000333,Newsletter,3567,331,52,0.09,0.16
CNT000075,CMP000110,Blog Post,8377,798,58,0.1,0.07
CNT000076,CMP000115,Blog Post,6768,552,176,0.08,0.32
CNT000077,CMP000321,Podcast,1070,568,209,0.53,0.37
CNT000078,CMP000336,Blog Post,6612,699,251,0.11,0.36
CNT000079,CMP000213,Case Study,9804,912,96,0.09,0.11
CNT000080,CMP000185,Blog Post,7391,263,258,0.04,0.98
CNT000081,CMP000126,Blog Post,1949,930,13,0.48,0.01
CNT000082,CMP000088,Podcast,9367,772,268,0.08,0.35
CNT000083,CMP000091,Blog Post,1702,130,147,0.08,1.13
CNT000084,CMP000350,Whitepaper,2878,279,29,0.1,0.1
CNT000085,CMP000369,Infographic,4049,696,38,0.17,0.05
CNT000086,CMP000048,Case Study,7412,52,267,0.01,5.13
